question,answer,context,id,task,direction,size
,,tables/arithmetic_10.tsv,nt-0,arithmetic,,"(10, 10)"
,,tables/arithmetic_8.tsv,nt-1,arithmetic,,"(8, 8)"
,,tables/arithmetic_4.csv,nt-2,arithmetic,,"(4, 4)"
,,tables/arithmetic_6.csv,nt-3,arithmetic,,"(6, 6)"
,,tables/arithmetic_12.tsv,nt-4,arithmetic,,"(12, 12)"
,,tables/item_10.csv,nt-5,item,,"(10, 10)"
,,tables/arithmetic_10.html,nt-6,item,,"(10, 10)"
,,tables/item_12.csv,nt-7,item,,"(12, 12)"
,,tables/item_6.csv,nt-8,item,,"(6, 6)"
,,tables/item_8.tsv,nt-9,item,,"(8, 8)"
,,tables/item_4.csv,nt-10,item,,"(4, 4)"
,,tables/item_6.html,nt-11,item,,"(4, 4)"
,,tables/arithmetic_8.html,nt-12,item,,"(4, 4)"
,,tables/item_12.html,nt-13,item,,"(4, 4)"
,,tables/arithmetic_4.html,nt-14,item,,"(4, 4)"
,,tables/item_4.tsv,nt-15,item,,"(4, 4)"
,,tables/item_8.csv,nt-16,item,,"(8, 8)"
,,tables/item_4.html,nt-17,item,,"(8, 8)"
,,tables/arithmetic_6.html,nt-18,item,,"(8, 8)"
,,tables/item_10.html,nt-19,item,,"(8, 8)"
,,tables/item_8.html,nt-20,item,,"(8, 8)"
,,tables/item_6.tsv,nt-21,item,,"(6, 6)"
,,tables/item_12.tsv,nt-22,item,,"(12, 12)"
,,tables/item_10.tsv,nt-23,item,,"(10, 10)"
,,tables/arithmetic_6.tsv,nt-24,arithmetic,,"(6, 6)"
,,tables/arithmetic_12.csv,nt-25,arithmetic,,"(12, 12)"
,,tables/arithmetic_10.csv,nt-26,arithmetic,,"(10, 10)"
,,tables/arithmetic_4.tsv,nt-27,arithmetic,,"(4, 4)"
,,tables/arithmetic_8.csv,nt-28,arithmetic,,"(8, 8)"
,,tables/arithmetic_12.html,nt-29,arithmetic,,"(8, 8)"
what was the last year where this team was a part of the usl a-league?,2004,csv/204-csv/590.csv,nt-0,,,
in what city did piotr's last 1st place finish occur?,"Bangkok, Thailand",csv/204-csv/622.csv,nt-1,,,
